subject,predicate,object
56,ifo:ctd_number,CTD 2.6.6.2.2.3
57,rdf:type,bibo:Document
57,dct:references,社内報告書
57,dct:dateAccepted,2012-09-28
57,ifo:internal_reference_id,EYL0551
57,ifo:ctd_number,CTD 2.6.6.2.2.5
58,rdf:type,bibo:Document
58,dct:references,社内報告書
58,dct:dateAccepted,2012-09-28
58,ifo:internal_reference_id,EYL0552
58,ifo:ctd_number,CTD 2.6.6.2.2.6、2.6.6.7
59,rdf:type,bibo:Document
59,dct:references,社内報告書
59,dct:dateAccepted,2012-09-28
59,ifo:internal_reference_id,EYL0553
59,ifo:ctd_number,CTD 2.6.6.3.2.1
60,rdf:type,bibo:Document
60,dct:references,社内報告書
60,dct:dateAccepted,2012-09-28
60,ifo:internal_reference_id,EYL0554
60,ifo:ctd_number,CTD 2.6.6.3.2.2
61,rdf:type,bibo:Document
61,dct:references,社内報告書
61,dct:dateAccepted,2012-09-28
61,ifo:internal_reference_id,EYL0555
61,ifo:ctd_number,CTD 2.6.6.3.2.2
62,rdf:type,bibo:Document
62,dct:references,社内報告書
62,dct:dateAccepted,2012-09-28
62,ifo:internal_reference_id,EYL0556
62,ifo:ctd_number,CTD 2.6.6.6.2.1
62,rdf:type,bibo:Document
62,dct:references,社内報告書
62,dct:dateAccepted,2012-09-28
62,ifo:internal_reference_id,EYL0557
62,ifo:ctd_number,CTD 2.6.6.6.2.2
64,rdf:type,bibo:Document
64,dct:references,社内報告書
64,dct:dateAccepted,2012-09-28
64,ifo:internal_reference_id,EYL0569
64,ifo:ctd_number,CTD 2.6.6.7
65,rdf:type,bibo:Document
65,dct:references,社内報告書
65,dct:dateAccepted,2012-09-28
65,ifo:internal_reference_id,EYL0558
65,ifo:ctd_number,CTD 2.6.6.6.4.1
66,rdf:type,bibo:Document
66,dct:references,社内報告書
66,dct:dateAccepted,2012-09-28
66,ifo:internal_reference_id,EYL0559
66,ifo:ctd_number,CTD 2.6.6.8.1〜3
67,rdf:type,bibo:Document
67,dct:references,社内報告書
67,dct:dateAccepted,2012-09-28
67,ifo:internal_reference_id,EYL0560
67,ifo:ctd_number,CTD 2.6.6.8.4
68,rdf:type,bibo:Document
68,dct:references,社内報告書
68,dct:dateAccepted,2012-09-28
68,ifo:internal_reference_id,EYL0561
68,ifo:ctd_number,CTD 2.6.6.8.5
69,rdf:type,bibo:Document
69,dct:references,社内報告書
69,dct:dateAccepted,2012-09-28
69,ifo:internal_reference_id,EYL0562
69,ifo:ctd_number,CTD 2.6.6.8.6
